City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iqaluit,63.7506,-68.5145,-7.15,62,75,8.23,CA,1684710015
84,port mathurin,-19.6833,63.4167,24.65,73,1,1.98,MU,1684710159
85,touros,-5.1989,-35.4608,26.38,83,4,5.2,BR,1684710089
86,cockburn town,21.4612,-71.1419,26.98,75,10,4.82,TC,1684710159
87,vangaindrano,-23.35,47.6,19.25,82,0,1.48,MG,1684710160
88,rio grande,-32.035,-52.0986,19.06,96,100,2.07,BR,1684710016
89,tabuk,17.4189,121.4443,26.49,76,11,1.1,PH,1684710160
90,praia da vitoria,38.7333,-27.0667,17.14,82,40,4.52,PT,1684710160
91,hansot,21.5833,72.8,30.43,58,1,3.72,IN,1684710049
92,whakatane,-37.9585,176.9854,16.4,85,60,0.45,NZ,1684709884
93,crane,31.3974,-102.3501,27.17,38,48,4.62,US,1684710161
94,hithadhoo,-0.6,73.0833,28.05,73,3,0.42,MV,1684710074
95,san patricio,28.017,-97.5169,27.97,66,45,5.18,US,1684709769
96,gadzhiyevo,69.2551,33.3362,7.91,89,100,6.09,RU,1684710161
97,guerrero negro,27.9769,-114.0611,20.01,61,72,7.21,MX,1684710127
98,champerico,14.3,-91.9167,33.3,64,99,2.78,GT,1684710162
99,merritt,50.1123,-120.7942,25.18,29,57,1.34,CA,1684710162
100,san antonio de pale,-1.4014,5.6325,26.47,71,92,4.68,GQ,1684710162
101,goundam,16.4145,-3.6708,34.43,15,95,4.06,ML,1684710162
102,onega,63.9061,38.1404,12.47,67,83,2.04,RU,1684710163
103,selfoss,63.9331,-20.9971,1.69,61,88,9.63,IS,1684710096
104,vernon,50.2581,-119.2691,22.74,64,90,1.54,CA,1684710024
105,invercargill,-46.4,168.35,9.17,77,100,2.89,NZ,1684710163
106,mil'kovo,55.6078,37.7956,9.73,85,93,0.61,RU,1684710164
107,hermanus,-34.4187,19.2345,12.26,70,100,4.33,ZA,1684710164
108,hasaki,35.7333,140.8333,24.05,88,94,3.07,JP,1684710164
109,bredasdorp,-34.5322,20.0403,10.7,68,100,1.53,ZA,1684710165
110,sao jose da coroa grande,-8.8978,-35.1478,24.91,88,13,2.19,BR,1684710165
111,antalaha,-14.9003,50.2788,22.51,92,23,1.47,MG,1684710165
112,fort st. john,56.2499,-120.8529,22.94,33,75,3.09,CA,1684709913
113,prince rupert,54.3161,-130.3201,11.05,82,100,9.77,CA,1684710165
114,viedma,-40.8135,-62.9967,14.63,66,100,5.13,AR,1684710166
115,anastacio,-20.4836,-55.8069,22.71,55,100,1.4,BR,1684710103
116,doma,8.3833,8.35,26.47,79,96,1.44,NG,1684710166
117,brigantine,39.4101,-74.3646,23.11,61,20,2.24,US,1684710166
118,tobelo,1.7284,128.0095,27.48,80,80,0.94,ID,1684710166
119,avarua,-21.2078,-159.775,27.03,78,75,6.17,CK,1684710167
120,blackmans bay,-43.0167,147.3167,13.62,70,80,3.08,AU,1684710002
121,kalabo,-14.97,22.6814,18.7,36,55,0.46,ZM,1684710167
122,nadym,65.5333,72.5167,4.15,75,9,2.61,RU,1684710168
123,tangalle,6.024,80.7911,25.77,86,8,3.42,LK,1684710168
124,cabo san lucas,22.8909,-109.9124,33.12,51,0,6.39,MX,1684709461
125,basoko,1.2391,23.616,23.31,91,86,1.22,CD,1684710168
126,thompson,55.7435,-97.8558,15.09,29,40,4.63,CA,1684710096
127,cukai,4.25,103.4167,25.0,92,93,1.98,MY,1684710169
128,atafu village,-8.5421,-172.5159,28.55,77,43,4.9,TK,1684710009
129,vorgashor,67.5833,63.95,1.65,96,88,2.91,RU,1684710169
130,nizhneudinsk,54.9076,99.0276,10.65,45,59,0.9,RU,1684710170
131,daoukro,7.0591,-3.9631,24.19,92,93,1.55,CI,1684710170
132,lazaro cardenas,17.9583,-102.2,30.35,68,58,3.61,MX,1684710171
133,plettenberg bay,-34.0527,23.3716,12.06,78,56,2.13,ZA,1684710171
134,ixtapa,20.7,-105.2,34.07,41,19,3.09,MX,1684710171
135,hawaiian paradise park,19.5933,-154.9731,27.07,76,90,0.89,US,1684710171
136,weno,7.4515,151.8468,28.97,84,100,4.63,FM,1684710142
137,manay,7.215,126.5397,27.11,80,100,1.27,PH,1684710172
138,nova xavantina,-14.6667,-52.35,21.69,54,8,0.26,BR,1684710172
139,ushuaia,-54.8,-68.3,3.81,70,40,7.72,AR,1684710126
140,west island,-12.1568,96.8225,24.99,88,40,1.54,CC,1684710172
141,vizinga,61.0749,50.1031,10.78,65,33,1.62,RU,1684710173
142,broome,42.2506,-75.833,20.93,50,0,0.89,US,1684709995
143,petropavlovka,50.6114,105.3196,9.41,62,3,1.32,RU,1684710173
144,laojunmiao,39.8333,97.7333,11.48,36,1,1.01,CN,1684710173
145,tomarza,38.4472,35.7992,9.8,93,81,2.06,TR,1684710173
146,guane,22.2025,-84.0875,28.4,69,56,3.17,CU,1684710174
147,kailua-kona,19.6406,-155.9956,28.61,81,61,2.68,US,1684710174
148,manicore,-5.8092,-61.3003,27.55,72,100,0.98,BR,1684710174
149,margaret river,-33.95,115.0667,15.23,61,98,4.17,AU,1684710174
150,khorixas,-20.3667,14.9667,18.33,27,0,1.86,,1684710175
151,debre werk',10.6667,38.1667,14.76,68,85,0.96,ET,1684710175
152,ugoofaaru,5.6667,73.0,28.32,75,91,2.48,MV,1684710175
153,fortuna,40.5982,-124.1573,17.03,82,100,8.23,US,1684710175
154,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1684710176
155,kapuskasing,49.4169,-82.4331,10.05,37,20,4.63,CA,1684710124
156,colonia,50.9333,6.95,18.87,88,0,0.0,DE,1684709869
157,nabire,-3.3667,135.4833,26.37,86,75,1.22,ID,1684710176
158,chuhar jamali,24.3895,67.9923,28.01,77,42,6.6,PK,1684710176
159,naze,28.3667,129.4833,21.51,88,97,2.6,JP,1684710177
160,banfora,10.6333,-4.7667,28.51,61,85,1.14,BF,1684710177
161,enewetak,11.3474,162.3373,27.75,78,75,5.34,MH,1684710084
162,st. john's,47.5649,-52.7093,12.66,78,100,10.29,CA,1684710152
163,sinabang,2.4803,96.3801,26.88,80,100,2.5,ID,1684710178
164,vanimo,-2.6741,141.3028,27.14,80,98,0.9,PG,1684710178
165,maceio,-9.6658,-35.7353,23.69,100,100,2.06,BR,1684710178
166,el granada,37.5027,-122.4694,29.38,75,100,8.75,US,1684710179
167,kavieng,-2.5744,150.7967,27.5,78,100,6.21,PG,1684710179
168,canto do buriti,-8.11,-42.9444,27.87,45,42,2.34,BR,1684710179
169,sinop,41.7711,34.8709,10.63,91,57,1.54,TR,1684710179
170,hotan,37.0997,79.9269,19.04,30,0,2.08,CN,1684710180
171,srandakan,-7.9386,110.2506,23.58,88,90,2.24,ID,1684710180
172,newman,37.3138,-121.0208,34.19,19,4,1.45,US,1684710180
